"filename", "language", "JSON", "JavaScript", "Markdown", "Vue", "HTML", "CSS", "comment", "blank", "total"
"f:\schoolc2cView\schoolc2c-view\.prettierrc.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\schoolc2cView\schoolc2c-view\README.md", "Markdown", 0, 0, 15, 0, 0, 0, 0, 5, 20
"f:\schoolc2cView\schoolc2c-view\babel.config.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 14
"f:\schoolc2cView\schoolc2c-view\package-lock.json", "JSON", 10992, 0, 0, 0, 0, 0, 0, 1, 10993
"f:\schoolc2cView\schoolc2c-view\package.json", "JSON", 27, 0, 0, 0, 0, 0, 0, 1, 28
"f:\schoolc2cView\schoolc2c-view\public\index.html", "HTML", 0, 0, 0, 0, 16, 0, 1, 1, 18
"f:\schoolc2cView\schoolc2c-view\src\App.vue", "Vue", 0, 0, 0, 30, 0, 0, 0, 3, 33
"f:\schoolc2cView\schoolc2c-view\src\assets\css\global.css", "CSS", 0, 0, 0, 0, 0, 16, 0, 2, 18
"f:\schoolc2cView\schoolc2c-view\src\components\admin\boothListView.vue", "Vue", 0, 0, 0, 84, 0, 0, 1, 5, 90
"f:\schoolc2cView\schoolc2c-view\src\components\admin\productsCatalogView.vue", "Vue", 0, 0, 0, 255, 0, 0, 16, 7, 278
"f:\schoolc2cView\schoolc2c-view\src\components\admin\userListView.vue", "Vue", 0, 0, 0, 336, 0, 0, 18, 9, 363
"f:\schoolc2cView\schoolc2c-view\src\components\auction\auctionInfoView.vue", "Vue", 0, 0, 0, 173, 0, 0, 0, 2, 175
"f:\schoolc2cView\schoolc2c-view\src\components\auction\auctionView.vue", "Vue", 0, 0, 0, 248, 0, 0, 5, 2, 255
"f:\schoolc2cView\schoolc2c-view\src\components\biyeProductsView.vue", "Vue", 0, 0, 0, 591, 0, 0, 7, 13, 611
"f:\schoolc2cView\schoolc2c-view\src\components\productInfoView.vue", "Vue", 0, 0, 0, 208, 0, 0, 0, 2, 210
"f:\schoolc2cView\schoolc2c-view\src\components\productView.vue", "Vue", 0, 0, 0, 386, 0, 0, 7, 3, 396
"f:\schoolc2cView\schoolc2c-view\src\components\productWantedListView.vue", "Vue", 0, 0, 0, 146, 0, 0, 0, 5, 151
"f:\schoolc2cView\schoolc2c-view\src\components\productWantedView.vue", "Vue", 0, 0, 0, 157, 0, 0, 1, 2, 160
"f:\schoolc2cView\schoolc2c-view\src\components\releaseAuctionView.vue", "Vue", 0, 0, 0, 219, 0, 0, 4, 4, 227
"f:\schoolc2cView\schoolc2c-view\src\components\releaseProductView.vue", "Vue", 0, 0, 0, 207, 0, 0, 4, 3, 214
"f:\schoolc2cView\schoolc2c-view\src\components\updatePassView.vue", "Vue", 0, 0, 0, 111, 0, 0, 0, 4, 115
"f:\schoolc2cView\schoolc2c-view\src\components\userInfoView.vue", "Vue", 0, 0, 0, 138, 0, 0, 0, 2, 140
"f:\schoolc2cView\schoolc2c-view\src\components\userLogin.vue", "Vue", 0, 0, 0, 101, 0, 0, 0, 2, 103
"f:\schoolc2cView\schoolc2c-view\src\components\userProductView.vue", "Vue", 0, 0, 0, 624, 0, 0, 2, 13, 639
"f:\schoolc2cView\schoolc2c-view\src\components\userRegisterView.vue", "Vue", 0, 0, 0, 177, 0, 0, 0, 2, 179
"f:\schoolc2cView\schoolc2c-view\src\components\welcome.vue", "Vue", 0, 0, 0, 10, 0, 0, 0, 2, 12
"f:\schoolc2cView\schoolc2c-view\src\main.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 8, 24
"f:\schoolc2cView\schoolc2c-view\src\plugins\element.js", "JavaScript", 0, 89, 0, 0, 0, 0, 0, 3, 92
"f:\schoolc2cView\schoolc2c-view\src\router\index.js", "JavaScript", 0, 127, 0, 0, 0, 0, 0, 5, 132
"f:\schoolc2cView\schoolc2c-view\src\views\adminHomeView.vue", "Vue", 0, 0, 0, 74, 0, 0, 0, 4, 78
"f:\schoolc2cView\schoolc2c-view\src\views\adminLoginView.vue", "Vue", 0, 0, 0, 98, 0, 0, 0, 2, 100
"f:\schoolc2cView\schoolc2c-view\src\views\homeView.vue", "Vue", 0, 0, 0, 203, 0, 0, 0, 5, 208
"f:\schoolc2cView\schoolc2c-view\src\views\userLoginRegisterView.vue", "Vue", 0, 0, 0, 29, 0, 0, 0, 2, 31
"Total", "-", 11019, 246, 15, 4605, 16, 16, 66, 125, 16108
